filename,size_kb,size_category,total_time,api_time,success,status_code,message
gas.svg,1.88671875,20-200KB,0.403062105178833,0.1,True,200.0,
acute.svg,2.1455078125,20-200KB,0.38311290740966797,0.12,True,200.0,
flammable.svg,2.986328125,20-200KB,0.40150022506713867,0.08,True,200.0,
hotel-svgrepo-com.svg,3.490234375,1-5KB,0.48885011672973633,0.21,True,200.0,
snow-mountain-svgrepo-com.svg,4.1865234375,1-5KB,0.20210814476013184,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
lighthouse-svgrepo-com.svg,4.4072265625,1-5KB,0.1575148105621338,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
suitcase-svgrepo-com.svg,4.4755859375,1-5KB,0.5638408660888672,0.28,True,200.0,
wallet-svgrepo-com.svg,4.880859375,1-5KB,0.05286812782287598,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
map-svgrepo-com.svg,4.9677734375,1-5KB,0.6253519058227539,0.34,True,200.0,
sunbathing-svgrepo-com.svg,4.970703125,1-5KB,0.3115200996398926,0.3,True,200.0,
cocktail-svgrepo-com.svg,4.97265625,1-5KB,0.22787117958068848,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
emu-svgrepo-com.svg,5.0625,1-5KB,0.31555795669555664,0.3,True,200.0,
the-trees-svgrepo-com.svg,5.068359375,1-5KB,0.3652029037475586,0.36,True,200.0,
polaroid-svgrepo-com.svg,5.1064453125,1-5KB,0.7285652160644531,0.45,True,200.0,
indicator-svgrepo-com.svg,5.189453125,1-5KB,0.3522059917449951,0.34,True,200.0,
airplane-svgrepo-com.svg,5.7548828125,1-5KB,0.34398317337036133,0.33,True,200.0,
wine-svgrepo-com.svg,6.3095703125,1-5KB,0.3830389976501465,0.37,True,200.0,
take-a-bath-svgrepo-com.svg,6.6240234375,1-5KB,0.29048800468444824,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
surf-svgrepo-com.svg,6.96484375,1-5KB,0.05118107795715332,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
ice-cream-svgrepo-com.svg,7.150390625,1-5KB,0.793281078338623,0.49,True,200.0,
suv-svgrepo-com.svg,7.498046875,1-5KB,0.8695549964904785,0.6,True,200.0,
hot-surface-text.svg,8.0244140625,20-200KB,0.07535123825073242,0.07,True,200.0,
coconut-tree-svgrepo-com.svg,8.8291015625,1-5KB,0.5247082710266113,0.51,True,200.0,
milk-tea-svgrepo-com.svg,9.466796875,1-5KB,0.48597192764282227,0.47,True,200.0,
oxidiser-text.svg,12.0771484375,20-200KB,0.2496788501739502,0.24,True,200.0,
ecotoxic-text.svg,14.669921875,20-200KB,0.4685518741607666,0.45,True,200.0,
dinosaur-text.svg,14.6865234375,20-200KB,0.03617501258850098,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
corrosive.svg,15.8251953125,20-200KB,0.8509502410888672,0.56,True,200.0,
explosive-text.svg,22.2470703125,20-200KB,0.25635194778442383,0.25,True,200.0,
cytotoxic-waste-text.svg,22.3037109375,20-200KB,0.36684107780456543,0.36,True,200.0,
corrosive-text.svg,25.05859375,20-200KB,0.5712058544158936,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
electrical-text.svg,26.5654296875,20-200KB,0.3065197467803955,0.3,True,200.0,
unique_multicolor_art_5.svg,26.6982421875,0.5-2MB,0.6675667762756348,0.34,True,200.0,
chronic-text.svg,27.3193359375,20-200KB,0.22984075546264648,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
laser-text.svg,28.416015625,20-200KB,0.3322281837463379,0.32,True,200.0,
cryogenic-text.svg,31.701171875,20-200KB,0.4496729373931885,0.44,True,200.0,
unique_multicolor_art_4.svg,126.189453125,0.5-2MB,0.698660135269165,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
unique_multicolor_art_9.svg,133.119140625,0.5-2MB,0.3146638870239258,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
unique_multicolor_art_10.svg,166.8759765625,0.5-2MB,1.0825939178466797,,False,400.0,HTTP Error: 400
unique_multicolor_art_3.svg,199.6318359375,0.5-2MB,0.13147187232971191,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
unique_multicolor_art_8.svg,244.09765625,0.5-2MB,1.0319368839263916,0.73,True,200.0,
unique_multicolor_art_6.svg,247.8623046875,0.5-2MB,0.5492911338806152,0.53,True,200.0,
unique_multicolor_art_2.svg,365.8740234375,0.5-2MB,1.0978727340698242,1.05,True,200.0,
unique_multicolor_art_7.svg,790.7890625,0.5-2MB,0.5414690971374512,,False,400.0,HTTP Error: 400
unique_multicolor_art_1.svg,1193.51953125,0.5-2MB,0.6994118690490723,,False,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
